Job Title,Company,Salary,Experience,Location,Skills,Source
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst) - Thu Nhập Lên Tới 30 Triệu Tại Hà Nội,CÔNG TY CỔ PHẦN LUMI VIỆT NAM,30 Triệu,2 năm,Hà Nội,IT...,TopCV
Performance Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ LOOGIX,Thỏa thuận,3 năm,Hà Nội,IT ...,TopCV
Nhân Viên Thiết Kế Ngành POD (Designer),CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ BORDER-X,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Thiết kế...,TopCV
Angular Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ LOOGIX,Thỏa thuận,3 năm,Hà Nội,"An ninh mạng, IT - Phần mềm",TopCV
"Senior Back End Developer (.NET,C#, SQL)",CÔNG TY TNHH LIÊN DOANH OCANY VIỆT NAM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Điện toán ..., IT - Phần mềm",TopCV
Fresher AI Computer Vision Engineer (Camera AI – DeepStream),CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,Thỏa thuận,Dưới 1 năm,Hà Nội,"AI Engineer, IT - Phần mềm",TopCV
Software Engineer (.Net Developer),"Pro
CÔNG TY TNHH MTV VIỄN THÔNG QUỐC TẾ FPT",Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
Thực Tập Sinh Business Analyst,CÔNG TY TNHH DIGITAL INNOVATION,Thỏa thuận,Dưới 1 năm,Hà Nội,IT...,TopCV
Technical Leader (PHP/Laravel),CÔNG TY CỔ PHẦN VIETEZ VIỆT NAM,Thỏa thuận,5 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm",TopCV
Nhân Viên Thiết Kế (Part-Time),CÔNG TY TNHH ĐÀO TẠO VÀ HỖ TRỢ GIÁO DỤC THÀNH ĐẠT,Thỏa thuận,1 năm,Hà Nội,Thiết kế...,TopCV
Junior QC (Japanese N4) / Kiểm Thử Phần Mềm,CÔNG TY TNHH ISB VIỆT NAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),IT ...,TopCV
Junior Laravel Back-End Developer,CÔNG TY CỔ PHẦN DỊCH VỤ ĐÀO TẠO TRỰC TUYẾN OES,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ 7,TopCV
Lập Trình Viên (.Net/JavaScript/NodeJS/ReactJS),CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM DOANH NGHIỆP,Thỏa thuận,Dưới 1 năm,Hà Nội,"Dưới 1 năm..., IT - Phần mềm",TopCV
IT Business Analyst,"Pro
CÔNG TY CỔ PHẦN CÔNG NGHỆ - VIỄN THÔNG ELCOM",Thỏa thuận,2 năm,Hà Nội,IT...,TopCV
AI Engineer - Thử Việc 120% Lương,CÔNG TY TNHH VERISERVE VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,"3 năm ..., AI Engineer, Nghỉ thứ 7, IT - Phần mềm",TopCV
Kỹ Sư Dữ Liệu - Data Engineer - Data Engineer - Khối Dữ Liệu (HO26.78),"Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,Không yêu cầu,Unknown,"Data Engineer, IT - Phần mềm",TopCV
Nhân Viên UAT Tester,CÔNG TY LOGISTICS - TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,IT ...,TopCV
Data Analyst Teamleader (Collection Analytics) - Thu Nhập 50 Triệu Tại Hồ Chí Minh,GALAXY DEBT TRADING COMPANY LIMITED,50 Triệu,1 năm,Hồ Chí Minh (mới),"Tài chính, Tuổi 25 - ..., Ngân hàng, Data Analyst",TopCV
Nhân Viên Phân Tích Nghiệp Vụ (BA) Tại Hà Nội - Thu Nhập 10M-35M,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ DỊCH VỤ NODO,10 Triệu,2 năm,Hà Nội,IT...,TopCV
DEV Nodejs- Fullstack,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ VIK SOLUTION,Thỏa thuận,1 năm,Hà Nội,"1 năm ki..., IT - Phần mềm",TopCV
Thực Tập Mobile App Developer,CÔNG TY TNHH QUESTX,Thỏa thuận,Không yêu cầu,Unknown,"Không yêu c..., IT - Phần mềm",TopCV
Game Tester (Fresher),JOYBIT,Thỏa thuận,Không yêu cầu,Unknown,"Game Tester, Game, Nghỉ thứ 7",TopCV
"Nhân Viên Hỗ Trợ Kỹ Thuật/Helpdesk (Nghỉ T7,CN) - Lương Cứng Upto 15 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ZENIFY,15 Triệu,1 năm,Hà Nội,"Viễn ..., IT - Phần mềm",TopCV
Middle Java Backend Developer,CÔNG TY TNHH CÔNG NGHỆ LAZYCY,Thỏa thuận,2 năm,Hà Nội,,TopCV
Business Analyst 1-3 Y Onsite Giang Văn Minh,CÔNG TY CỔ PHẦN TECHASIANS,Thỏa thuận,1 năm,Hà Nội,IT...,TopCV
[Inhouse] Autotest Good Eng,CÔNG TY CỔ PHẦN SYNCSOFT,Thỏa thuận,5 năm,Hà Nội,Ngâ...,TopCV
"UI/UX Designer [Hà Nội] - Thu Nhập Upto 15 Triệu, Có Kinh Nghiệm",CÔNG TY TNHH PANCAKE VIỆT NAM,15 Triệu,Dưới 1 năm,Hà Nội,"IT - Phần mềm, UI/UX Design",TopCV
Nhân Viên Thiết Kế (Graphic Designer),CÔNG TY TNHH THƯƠNG MẠI VẠN NHẤT,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...,TopCV
Nhân Viên IT,CÔNG TY CP KỸ NGHỆ THỰC PHẨM VIỆT SIN,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT - Phần mềm,TopCV
".NET Developer, Đi Làm Ngay, Thu Nhập 12 - 15 Triệu/ Tháng Theo Năng Lực, Gò Vấp - TPHCM",CÔNG TY CỔ PHẦN GOMI CORPORATION,12 - 15 Triệu,1 năm,Hồ Chí Minh (mới),"Thương m..., IT - Phần mềm",TopCV
Fresher UI/UX - Graphic Designer,WACONTRE ONE MEMBER LIMITED,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., UI/UX Design",TopCV
"Backend Developer (.NET) - BHXH Full Lương - Nghỉ T7, CN",CÔNG TY CỔ PHẦN TOS,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
Nhân Viên Php Developer - BHXH Full Lương - Nghỉ T7 & CN,CÔNG TY CỔ PHẦN TOS,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
Backend Engineer,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ VÀ THƯƠNG MẠI WIINVENT,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ 7,TopCV
Senior Graphic Designer - Hà Nội,CÔNG TY TNHH GEM CRAFTORY AGENCY,Thỏa thuận,1 năm,Hà Nội,Marketin...,TopCV
Product Manager,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ SHT,Thỏa thuận,5 năm,Hà Nội,"Công nghệ..., IT - Phần mềm",TopCV
Thực Tập Sinh Thiết Kế UI/UX (Web/App/Game),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LIFESTYLE VIỆT NAM,Thỏa thuận,Không yêu cầu,Unknown,"IT - Phần ..., UI/UX Design",TopCV
Software Engineer (Fintech),CÔNG TY TNHH CASSO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
"IT Phần Cứng Laptop, PC (Thinkpad, Legion..) Nghỉ T7,CN Tại Hà Nội",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QP&T CHI NHÁNH HÀ NỘI,Thỏa thuận,1 năm,Hà Nội,,TopCV
Project Manager (IT Outsourcing),CÔNG TY TNHH AEGONA,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"IT Consultant, 3 nă..., Nghỉ thứ 7, IT - Phần mềm",TopCV
Nhân Viên IT Thi Công Hạ Tầng Mạng Và Camera,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VI TÍNH VÕ MINH,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"Kỹ thuật IT, An ...",TopCV
Thiết Kế Đồ Họa Ngành Ô Tô (Chỉ Tuyển Nữ),CÔNG TY TNHH TRUYỀN THÔNG QUẢNG CÁO Ô TÔ VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,Nghỉ thứ...,TopCV
"UI/UX Designer (Ecommerce, Lương Từ 10 - 15 Triệu + Thưởng, Nghỉ Thứ 7 - Chủ Nhật)",CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ECOMBE,10 - 15 Triệu,2 năm,Hà Nội,"IT - Phần mềm, UI/UX Design",TopCV
Manual Tester – T24 Bank,CÔNG TY CỔ PHẦN GOGROUP,Thỏa thuận,2 năm,Hà Nội,"Manual Tester, Nghỉ thứ 7",TopCV
"Middle Fullstack Developer (Java, ReactJS)",CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ..., IT - Phần mềm",TopCV
IT Helpdesk,CÔNG TY CỔ PHẦN SHAT,Thỏa thuận,2 năm,Hồ Chí Minh (mới),,TopCV
"Fresher Tester (Từ 6 Tháng Kinh Nghiệm, Offer 8-13tr/Tháng)",CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,8 - 13 Triệu,Dưới 1 năm,Hà Nội,IT ...,TopCV
Nhân Viên Kiểm Thử Phần Mềm (Manual/Automation) - Từ 1 Năm Kinh Nghiệm,CÔNG TY CỔ PHẦN CÔNG NGHỆ EUP,Thỏa thuận,1 năm,Hà Nội,IT ...,TopCV
AI Engineer,CÔNG TY CỔ PHẦN SANAN,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm ..., AI Engineer, Nghỉ thứ 7, IT - Phần mềm",TopCV
Unity Developer (Intern),ABI GAME STUDIO,Thỏa thuận,Không yêu cầu,Unknown,"Game Developer, Nghỉ thứ 7",TopCV
Fresher Embedded Developer,"Pro
FPT SOFTWARE",Thỏa thuận,Không yêu cầu,Unknown,IT - Ph...,TopCV
PHP Developer,CÔNG TY CỔ PHẦN VOYAGER,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"1 ..., Nghỉ thứ 7, IT - Phần mềm",TopCV
"Intern Manual Tester (Trợ Cấp Từ 2-3 Triệu, Test Web/App)",CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ECOMBE,2 - 3 Triệu,Dưới 1 năm,Hà Nội,"Manual Tester, IT - Phần mềm",TopCV
Fresher Tester,BSS GROUP,Thỏa thuận,Dưới 1 năm,Hà Nội,"Nghỉ thứ ..., Manual Tester",TopCV
Nhân Viên Lập Trình Viên Backend PHP,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ RUBICON,Thỏa thuận,1 năm,Hà Nội,Đại Họ...,TopCV
Chuyên Viên Phát Triển Ứng Dụng (Kiểm Thử),CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT ĐỘNG SẢN VĂN PHÚ,Thỏa thuận,2 năm,Hà Nội,Ngh...,TopCV
Data Engineer,"Pro
VIETTEL IDC",Thỏa thuận,2 năm,Hà Nội,"Data Engineer, Đại Học tr...",TopCV
Chuyên Viên Phân Tích Nghiệp Vụ,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ VÀ THƯƠNG MẠI WIINVENT,Thỏa thuận,2 năm,Hà Nội,Ng...,TopCV
IT Auditor,"Pro
CHAILEASE INTERNATIONAL LEASING CO., LTD. (HEAD OFFICE)",Thỏa thuận,1 năm,Hồ Chí Minh (mới),"T..., Nghỉ thứ 7",TopCV
IT Application - Nhóm Ứng Dụng (ERP),CÔNG TY TNHH AMPERSAND MANAGEMENT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
Chuyên Viên Quản Lý Dự Án - Project Manager (PM) - Khối Dữ Liệu (HO26.75),"Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm",TopCV
"FullStack Developer (Junior, Senior) - Khối Công Nghệ Thông Tin (HOLT.04)","Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,1 năm,Hà Nội,"Ngân hàn..., IT - Phần mềm",TopCV
AI Engineer (AI Agent / GenAI),"Pro
CÔNG TY CỔ PHẦN CÔNG NGHỆ - VIỄN THÔNG ELCOM",Thỏa thuận,2 năm,Hà Nội,"2 năm ..., AI Engineer, Nghỉ thứ 7, IT - Phần mềm",TopCV
"Nhân Viên Lập Trình Ecom PHP, HTML5, CSS3",MPV SÀI GÒN,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT ...,TopCV
Junior Frontend Developer,CÔNG TY CỔ PHẦN SANAN,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm",TopCV
Android Developer (Java/Kotlin),CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN APEC THĂNG LONG,Thỏa thuận,1 năm,Hà Nội,Đại Học...,TopCV
Middle Frontend Developer (ReactJS),CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm",TopCV
Senior .NET Developer (Web & Mobile),CÔNG TY TNHH DỊCH VỤ SỬA CHỮA ĐIỆN THOẠI VUI,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Thương mại..., IT - Phần mềm",TopCV
Technical Project Coordinator - Thu Nhập Upto 20 M ++,CÔNG TY CỔ PHẦN GIÁO DỤC LOGIC LAB,20 Triệu,1 năm,Hà Nội,An...,TopCV
Fresher Mobile App Tester,CÔNG TY CỔ PHẦN WELLY FITNESS,Thỏa thuận,Dưới 1 năm,Hà Nội,"Dưới 1 năm ..., IT - Phần mềm",TopCV
"Kỹ Sư Cầu Nối (BrSE/PO, Tiếng Nhật)",CÔNG TY CỔ PHẦN DEHA VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7,TopCV
"Fresher .Net (6 Tháng-1 Năm KN, Thu Nhập 9-15tr/Tháng)",CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,9 - 15 Triệu,Dưới 1 năm,Hà Nội,"Dưới 1 n..., IT - Phần mềm",TopCV
Data Engineer - Từ 2 Năm Kinh Nghiệm,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"Data Engineer, 2 năm k..., Viễn thông, Nghỉ thứ 7",TopCV
Lập Trình Viên Mobile Flutter,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN ĐÔNG NAM Á,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh ..., IT - Phần mềm",TopCV
Chuyên Viên Báo Cáo Tuân Thủ - Compliance Reporting Officer - Khối Dữ Liệu (HO26.74),"Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,1 năm,Hà Nội,"Tài chính, Ngân hàng, Data Analyst, Nghỉ thứ 7",TopCV
"Kỹ Sư Đảm Bảo Chất Lượng - Fresher/ Middle QA/ Tester - Tiếng Anh Tốt - Làm Việc Tại Hà Nội - Phúc Lợi Tốt, Thu Nhập Cạnh Tranh",CÔNG TY TNHH AVEPOINT VIỆT NAM,Thỏa thuận,Không yêu cầu,Unknown,IT ...,TopCV
"Fullstack Developer (NodeJS, ReactJS)",TIGREN SOLUTIONS,Thỏa thuận,2 năm,Hà Nội,"Thương m..., IT - Phần mềm",TopCV
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN VINPACK,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Marketin...,TopCV
Backend Developer (NodeJS),CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh..., IT - Phần mềm",TopCV
Chuyên Viên Mô Hình Và Phân Tích Nâng Cao - Data Scientist - Modeling And Advanced Analytics - Khối Dữ Liệu (HOLT.07),"Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,Không yêu cầu,Unknown,"Data Scientist, IT - Phần mềm",TopCV
Nhân Viên QA Tester,TIGREN SOLUTIONS,Thỏa thuận,2 năm,Hà Nội,IT ...,TopCV
Data Analyst Intern (Research Web3),CÔNG TY TNHH CYCLOPS TECHNOLOGY,Thỏa thuận,Dưới 1 năm,Hà Nội,"Data Analyst, Nghỉ thứ 7",TopCV
"Chuyên Gia, Chuyên Viên Cao Cấp Kiến Trúc Ứng Dụng - Solution Architect - Khối Công Nghệ Thông Tin (HOLT.10)","Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,4 năm,Hà Nội,IT - ...,TopCV
DevOps Engineer,CÔNG TY CỔ PHẦN ZTO LABS,Thỏa thuận,3 năm,Hà Nội,"Ti..., Nghỉ thứ 7, IT - Phần mềm",TopCV
Internship/Fresher UA Marketing Mobile App,CÔNG TY TNHH PIONTECH SOFTWARE,Thỏa thuận,Không yêu cầu,Unknown,"Game, Market..., IT - Phần mềm",TopCV
Senior Business Analyst (Nhân Viên Phân Tích Nghiệp Vụ),CÔNG TY CP CÔNG NGHỆ PHẦN MỀM VÀ NỘI DUNG SỐ OSP,Thỏa thuận,5 năm,Hà Nội,Ng...,TopCV
Tester (Manual),CÔNG TY CỔ PHẦN PT HUB,Thỏa thuận,1 năm,Hà Nội,IT ...,TopCV
Thực Tập Sinh Game Tester (QA),SUPER GAME,Thỏa thuận,Không yêu cầu,Unknown,"Game Tester, Nghỉ thứ 7",TopCV
Middle Java Backend (15 - 18 Tháng Lương/ Năm),CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ TP,Thỏa thuận,2 năm,Hà Nội,Nghỉ thứ 7,TopCV
Game Tester,CÔNG TY TNHH PUZZLE STUDIO,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Game Tester, Ca..., Nghỉ thứ 7",TopCV
"Chuyên Viên Phát Triển Đối Tác/Sale B2B (Data Có Sẵn, Nghỉ T7,CN) - Thu Nhập Trung Bình 10 - 30 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ ZENIFY,10 - 30 Triệu,Không yêu cầu,Unknown,"Telesales, Direct Sales",TopCV
Senior Agentic AI Expert,"Pro
CÔNG TY CỔ PHẦN SMARTOSC",Thỏa thuận,Trên 5 năm,Hà Nội,"AI Engineer, Nghỉ thứ 7",TopCV
Kỹ Sư Microsoft 365 & Power Platform,CÔNG TY CỔ PHẦN TẬP ĐOÀN TDI,Thỏa thuận,1 năm,Hà Nội,IT - ...,TopCV
Thực Tập Sinh Tester,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN APEC THĂNG LONG,Thỏa thuận,Không yêu cầu,Unknown,"Manual Tester, IT - Phần mềm",TopCV
"(Middle, Senior) FullStack Developer - Khối Công Nghệ Thông Tin (HOLT.12)","Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,Không yêu cầu,Unknown,"Ngân hàn..., IT - Phần mềm",TopCV
Chuyên Viên Phân Tích Và Thiết Kế Mô Hình Dữ Liệu - Data Analyst - Khối Dữ Liệu (HO26.76),"Pro
NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK",Thỏa thuận,2 năm,Hà Nội,"Tài ch..., Ngân hàng, Data Analyst, IT - Phần mềm",TopCV
"Fresher Business Analyst (Từ 1 Năm Kinh Nghiệm, Offer 9-15tr/Tháng)",CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,9 - 15 Triệu,1 năm,Hà Nội,IT...,TopCV
IT Helpdesk/ IT Support,CÔNG TY CỔ PHẦN SANAN,Thỏa thuận,1 năm,Hà Nội,,TopCV
Business Analyst - Middle/Senior - Upto 30Tr (Gross) - Cầu Giấy/Đống Đa,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALADIN,30 Triệu,2 năm,Hà Nội,Ti...,TopCV
"Kỹ Sư Lập Trình Embedded/IoT (C/C++/C#, Python) [Hà Nội] - Thu Nhập Cạnh Tranh, Từ 2 Năm Kinh Nghiệm",CÔNG TY CỔ PHẦN PHẦN MỀM NHÚNG NATA,Thỏa thuận,2 năm,Hà Nội,IT - Ph...,TopCV
Chuyên Viên Kết Nối Phân Tích Dữ Liệu,CÔNG TY TNHH PFAM,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Data Engineer, Trung cấp ...",TopCV
Nhân Viên Kỹ Thuật IT,CÔNG TY TNHH A.N.F.A VIỆT NAM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),,TopCV
Java BackEnd Developer,CÔNG TY CỔ PHẦN CROW GAMING,Thỏa thuận,2 năm,Hà Nội,"Tài ch..., Game, IT - Phần mềm",TopCV
AI Engineer (Generative AI/LLM),CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,Thỏa thuận,1 năm,Hà Nội,"1 năm ..., AI Engineer, Nghỉ thứ 7, IT - Phần mềm",TopCV
Finance Clerk - Tiếng Anh IELTS 6.5,CÔNG TY TNHH CK SOLUTIONS,Thỏa thuận,Không yêu cầu,Unknown,"T..., Kế toán",TopCV
Flutter Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ TASC VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"2..., Nghỉ thứ 7, IT - Phần mềm",TopCV
Lập Trình Viên Full-Stack (Start-Up),CÔNG TY TNHH TD CONSULTING,Thỏa thuận,1 năm,Hà Nội,"IT - Phầ..., IT - Phần mềm",TopCV
Nhân Viên Manual Tester - Từ 1 Năm Kinh Nghiệm - Lương Upto 15 Triệu/Tháng,CÔNG TY CỔ PHẦN QUẢNG CÁO TRỰC TUYẾN 24H,15 Triệu,1 năm,Hà Nội,"Manual Tester, Nghỉ thứ 7",TopCV
Backend/System Developer (E-Commerce & Logistics),VĂN PHÒNG ĐẠI DIỆN KPOP FEVER COMPANY LIMITED TẠI THÀNH PHỐ HÀ NỘI,Thỏa thuận,3 năm,Hà Nội,"Thương mại..., IT - Phần mềm",TopCV
"Nhân Viên Triển Khai - Từ 02 Năm Kinh Nghiệm - Lương Thỏa Thuận, Đãi Ngộ Tốt - Quận Thanh Xuân (Hà Nội)",CÔNG TY TNHH CÔNG NGHỆ THIÊN AN,Thỏa thuận,2 năm,Hà Nội,"Cao Đẳng tr..., Data Analyst",TopCV
"Project Manager (Lương Thoả Thuận Theo Năng Lực, Từ 1-3 Năm Kinh Nghiệm)",CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,Thỏa thuận,1 năm,Hà Nội,"An ninh mạng, IT - Phần ...",TopCV
Chuyên Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN ĐẦU TƯ MOBINO,Thỏa thuận,3 năm,Hà Nội,IT ...,TopCV
Thực Tập Sinh Lập Trình Viên .Net,CÔNG TY TNHH DIGITAL INNOVATION,Thỏa thuận,Dưới 1 năm,Hà Nội,,TopCV
Grapgic Designer/ Thiết Kế Thu Nhập Hấp Dẫn,CÔNG TY CỔ PHẦN RADON GROUP,Thỏa thuận,1 năm,Hà Nội,Marketin...,TopCV
Full Stack Engineer (Python/TypeScript),CÔNG TY TNHH HAYTECH SOLUTIONS,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., IT - Phần mềm",TopCV
Magento Developer,CÔNG TY TNHH MONA HOST,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm",TopCV
Android Developer (Mobile App),CÔNG TY TNHH MỘT THÀNH VIÊN ALLSOFT,Thỏa thuận,Dưới 1 năm,Hà Nội,"D..., Nghỉ thứ 7, IT - Phần mềm",TopCV
Trưởng Phòng IT - Quản Lý Phần Mềm / IT Manager (Mức Lương Upto 60 Triệu),CÔNG TY CỔ PHẦN A25 HOTEL,60 Triệu,5 năm,Hà Nội,IT - ...,TopCV
Senior .NET Developer,CÔNG TY CỔ PHẦN TÀI NGUYÊN TRI THỨC VIỆT NĂNG,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm kinh..., IT - Phần mềm",TopCV
Nhân Viên Phân Tích Nghiệp Vụ Phần Mềm CRM / AI,CÔNG TY TNHH DỊCH VỤ WAO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT...,TopCV
"Tech Lead Fullstack Engineer (EN, Hybrid,UST)",CÔNG TY CP PHẦN MỀM MOR,Thỏa thuận,5 năm,Hồ Chí Minh (mới) & 2 nơi khác,"T..., Nghỉ thứ 7, IT - Phần mềm",TopCV
Web Developer Intern,ZEN8LABS,Thỏa thuận,Không yêu cầu,Unknown,"Nghỉ thứ..., IT - Phần mềm",TopCV
Business Analyst,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ VÀ TRUYỀN THÔNG,Thỏa thuận,2 năm,Hà Nội,IT...,TopCV
Phân Tích Dữ Liệu Kinh Doanh/ Data Analyst Thu Nhập Từ 15 - 18 Triệu Tại Hà Nội,CÔNG TY CỔ PHẦN PHỤ TÙNG MCT PHÚC LONG,15 - 18 Triệu,2 năm,Hà Nội,"Data Analyst, Tuổi 25 - 35",TopCV
Kỹ Sư Phát Triển Sản Phẩm AI – AI PRODUCT BUILDER – Thu Nhập 25-35M Tại Hà Nội,CÔNG TY CỔ PHẦN LUMI VIỆT NAM,25 - 35 Triệu,2 năm,Hà Nội,"AI Engineer, IT - Phần mềm",TopCV
Senior Data Analyst Ngành May Mặc,CÔNG TY TNHH RECHIC,Thỏa thuận,5 năm,Hồ Chí Minh (mới),"Bán lẻ -..., Data Analyst",TopCV
Thực Tập Sinh Công Nghệ Thông Tin Fulltime (Có Mộc + Lương),CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Unknown,,TopCV
Middle/Senior Java Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VISSOFT,Thỏa thuận,4 năm,Hà Nội,Nghỉ thứ 7,TopCV
DevOps Engineer,"Pro
CÔNG TY CỔ PHẦN CHỨNG KHOÁN FPT",Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ 7, Tu..., IT - Phần mềm",TopCV
2D Game Artist,SONATGAME STUDIO,Thỏa thuận,1 năm,Hà Nội,"Game, Concept Artist",TopCV
Business Analyst (Tiếng Anh Giao Tiếp Tốt),NTQ SOLUTION,Thỏa thuận,3 năm,Hà Nội,IT...,TopCV
Trưởng Nhóm Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ WI-MESH,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"B2C, B2B",TopCV
Chuyên Viên Kiểm Thử Phần Mềm (Tester),CÔNG TY CỔ PHẦN CÔNG NGHỆ ITG,Thỏa thuận,2 năm,Hà Nội,"Nghỉ th..., Kế toán, Manual Tester, IT - Phần mềm",TopCV
