Job Title,Company,Salary,Experience,Location,Skills,Source
Database Engineer (SQL Server),Live Payments,Thỏa thuận,N/A,Ho Chi Minh,"Database, SQL, English",ITViec
GCP Cloud specialist (Japanese speaking),Capgemini Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"GCP, Japanese, Terraform, Cloud",ITViec
Chuyên viên Phát triển ứng dụng (Java Developer),SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,"Java, Windows Server, API, Linux, Microservices, Spring",ITViec
"QA Architect (QA QC, Tester, Playwright, Selenium)",MEALSUITE,Thỏa thuận,N/A,Ho Chi Minh,"Tester, Selenium, QA QC, Design, Playwright",ITViec
"Linux System Developer (C Language, C++)",Endava Việt Nam,Thỏa thuận,N/A,Ho Chi Minh,"Linux, English, Networking, Python, C++, C language",ITViec
DevSecOps Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,N/A,Ho Chi Minh,"DevSecOps, CI/CD, Kubernetes, Security, Docker",ITViec
Data Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,N/A,Ho Chi Minh,"Apache Spark, SQL, Elasticsearch, Cassandra, Apache Airflow",ITViec
Software Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,N/A,Ho Chi Minh,"Golang, Kafka, Elasticsearch, Cassandra, Oracle, Java",ITViec
Full Stack Developer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,N/A,Ho Chi Minh,"React Native, API, Golang, Java, Oracle, NodeJS",ITViec
Middle/Senior Software Engineer (Fullstack Developer),Gradion,Thỏa thuận,N/A,Ho Chi Minh,"PHP, .NET, Java, AWS, Golang, NodeJS",ITViec
Embedded Software Engineer,FUJIFILM Business Innovation Việt Nam,Thỏa thuận,N/A,Ho Chi Minh,"Embedded, Linux, C language, C++, Windows",ITViec
AI Engineer - Salary Up to 70M,FPT Software,Thỏa thuận,N/A,Ho Chi Minh,"AI, Python, LLM, Azure, OCR, Machine Learning",ITViec
Embedded Software Engineer,Motorola Solutions,Thỏa thuận,N/A,Ho Chi Minh,"Embedded C, OpenCV, Linux",ITViec
"Product Owner (Airline & Travel Business, B2B/B2C)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,N/A,Ho Chi Minh,"Product Owner, Product Management, User story, Scrum, Agile",ITViec
Business Analyst (Middle),Saigon Technology,Thỏa thuận,N/A,Ho Chi Minh,"Business Analysis, Agile, BPMN, UML, English",ITViec
"AI Engineer (LLM RAG, Agent Workflow, Vector DB)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,N/A,Ho Chi Minh,"Python, Prompt Engineering, Microservices, API, AI, LLM",ITViec
"Frontend Dev (Angular, TypeScript, React, RxJS)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,N/A,Ho Chi Minh,"Angular, API, RxJS, Tailwind, CSS 3, TypeScript",ITViec
Data Platforms Team Leader,Home Credit Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Spark, DevOps",ITViec
Performance Test Engineer (English),KMS Technology,Thỏa thuận,N/A,Ho Chi Minh,"Tester, Gatling, LoadRunner, Jmeter",ITViec
"Middle Data Engineer (Python, SQL, BI, AWS)",BillEase,Thỏa thuận,N/A,Ho Chi Minh,"Data Engineer, ELT, Business Intelligence, AWS, SQL",ITViec
