Job Title,Company,Salary,Experience,Location,Skills,Source,Location_Clean_Fixed
Software Asset Management Specalist,Renesas Design Vietnam,Thỏa thuận,,Ho Chi Minh,"Scrum, Team Management",ITViec,Ho Chi Minh
"Remote Mobile App Developer (Java, Kotlin, Android)","Solventus, LLC",Thỏa thuận,,Ho Chi Minh,"Android, Application Security, Java, API, Android studio",ITViec,Ho Chi Minh
"Remote Fullstack Developer(TypeScript, ReactJS, NodeJS)","Solventus, LLC",Thỏa thuận,,Ho Chi Minh,"TypeScript, NextJS, AWS, NodeJS, PostgreSql, ReactJS",ITViec,Ho Chi Minh
Database Engineer (SQL Server),Live Payments,Thỏa thuận,,Ho Chi Minh,"Database, SQL, English",ITViec,Ho Chi Minh
GCP Cloud specialist (Japanese speaking),Capgemini Vietnam,Thỏa thuận,,Ho Chi Minh,"GCP, Japanese, Terraform, Cloud",ITViec,Ho Chi Minh
Chuyên viên Phát triển ứng dụng (Java Developer),SACOMBANK,Thỏa thuận,,Ho Chi Minh,"Java, Windows Server, API, Linux, Microservices, Spring",ITViec,Ho Chi Minh
"QA Architect (QA QC, Tester, Playwright, Selenium)",MEALSUITE,Thỏa thuận,,Ho Chi Minh,"Tester, Selenium, QA QC, Design, Playwright",ITViec,Ho Chi Minh
"Linux System Developer (C Language, C++)",Endava Việt Nam,Thỏa thuận,,Ho Chi Minh,"Linux, English, Networking, Python, C++, C language",ITViec,Ho Chi Minh
DevSecOps Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,,Ho Chi Minh,"DevSecOps, CI/CD, Kubernetes, Security, Docker",ITViec,Ho Chi Minh
Data Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,,Ho Chi Minh,"Apache Spark, SQL, Elasticsearch, Cassandra, Apache Airflow",ITViec,Ho Chi Minh
Software Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,,Ho Chi Minh,"Golang, Kafka, Elasticsearch, Cassandra, Oracle, Java",ITViec,Ho Chi Minh
Full Stack Developer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,,Ho Chi Minh,"React Native, API, Golang, Java, Oracle, NodeJS",ITViec,Ho Chi Minh
Middle/Senior Software Engineer (Fullstack Developer),Gradion,Thỏa thuận,,Ho Chi Minh,"PHP, .NET, Java, AWS, Golang, NodeJS",ITViec,Ho Chi Minh
Embedded Software Engineer,FUJIFILM Business Innovation Việt Nam,Thỏa thuận,,Ho Chi Minh,"Embedded, Linux, C language, C++, Windows",ITViec,Ho Chi Minh
AI Engineer - Salary Up to 70M,FPT Software,Thỏa thuận,,Ho Chi Minh,"AI, Python, LLM, Azure, OCR, Machine Learning",ITViec,Ho Chi Minh
Embedded Software Engineer,Motorola Solutions,Thỏa thuận,,Ho Chi Minh,"Embedded C, OpenCV, Linux",ITViec,Ho Chi Minh
"Product Owner (Airline & Travel Business, B2B/B2C)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,,Ho Chi Minh,"Product Owner, Product Management, User story, Scrum, Agile",ITViec,Ho Chi Minh
Business Analyst (Middle),Saigon Technology,Thỏa thuận,,Ho Chi Minh,"Business Analysis, Agile, BPMN, UML, English",ITViec,Ho Chi Minh
"AI Engineer (LLM RAG, Agent Workflow, Vector DB)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,,Ho Chi Minh,"Python, Prompt Engineering, Microservices, API, AI, LLM",ITViec,Ho Chi Minh
"Frontend Dev (Angular, TypeScript, React, RxJS)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,Thỏa thuận,,Ho Chi Minh,"Angular, API, RxJS, Tailwind, CSS 3, TypeScript",ITViec,Ho Chi Minh
Data Platforms Team Leader,Home Credit Vietnam,Thỏa thuận,,Ho Chi Minh,"Spark, DevOps",ITViec,Ho Chi Minh
Performance Test Engineer (English),KMS Technology,Thỏa thuận,,Ho Chi Minh,"Tester, Gatling, LoadRunner, Jmeter",ITViec,Ho Chi Minh
"Middle Data Engineer (Python, SQL, BI, AWS)",BillEase,Thỏa thuận,,Ho Chi Minh,"Data Engineer, ELT, Business Intelligence, AWS, SQL",ITViec,Ho Chi Minh
SysOps - Trading System IT Operations & Support (SQL),Maybank Investment Bank,Thỏa thuận,,Ho Chi Minh,"IT Support, Database, IBM DB2, CI/CD, SQL, Docker",ITViec,Ho Chi Minh
Cyber Security Consultant,Capgemini Vietnam,Thỏa thuận,,Ho Chi Minh,"Cybersecurity, Governance, Risk & Compliance",ITViec,Ho Chi Minh
SecOps Engineer,CÔNG TY TNHH NEXTEDGE,Thỏa thuận,,Ho Chi Minh,"DevSecOps, Cloud Security, Information Security, Cybersecurity",ITViec,Ho Chi Minh
Senior Bridge Engineer - BrSE (Japanese N2+),"ANDPAD VietNam Co., Ltd",Thỏa thuận,,Ho Chi Minh,"Bridge Engineer, Japanese, Project Management, QA QC",ITViec,Ho Chi Minh
Senior AI Engineer (Infrastructure Focus),Bitcoin Builders,Thỏa thuận,,Ho Chi Minh,"PyTorch, Deep Learning, Machine Learning, AI, Docker",ITViec,Ho Chi Minh
Backend Technical Lead,TymeX,Thỏa thuận,,Ho Chi Minh,"Java, Design Systems, Event-Driven Architecture, Microservices",ITViec,Ho Chi Minh
Security Architect / Senior Security Engineer,Prime Tech Solution,Thỏa thuận,,Ho Chi Minh,"Cybersecurity, Zero Trust Architecture, Cryptography, Security",ITViec,Ho Chi Minh
Fullstack Dev - AI products,TecAlliance Vietnam,Thỏa thuận,,Ho Chi Minh,"Fullstack, Cloud Security, NumPy, Pandas, AI, Python",ITViec,Ho Chi Minh
Cybersecurity Operations Manager - SOC Manager,AURIFY,Thỏa thuận,,Ho Chi Minh,"Cybersecurity, DevSecOps, Vulnerability Management, Linux",ITViec,Ho Chi Minh
Jr/Mid/Sr Golang Software Engineer,Floating Cube Studios,Thỏa thuận,,Ho Chi Minh,"Golang, ERP, Docker, Generative AI, English",ITViec,Ho Chi Minh
Mid/Sr Software Engineer-AI system (Java/Golang/Python),Floating Cube Studios,Thỏa thuận,,Ho Chi Minh,"AI, Database, Golang, Java, Python",ITViec,Ho Chi Minh
[Global Market] Senior .NET Developer (Good English),RIKKEISOFT,Thỏa thuận,,Ho Chi Minh,".NET, .Net Core, TypeScript, Microservices, API",ITViec,Ho Chi Minh
"DevOps Engineer (Card Way4, System Integration..)",FE CREDIT,Thỏa thuận,,Ho Chi Minh,"DevOps, Database, CI/CD, AWS, Oracle, Java",ITViec,Ho Chi Minh
Principal AI/LLM Solution Engineer (Cloud Contract),"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"AI, LLM, MLOps, Cloud, Python, Golang",ITViec,Ho Chi Minh
"Automation Tester (Java, Selenium)",CODE88 COMPANY LIMITED,Thỏa thuận,,Ho Chi Minh,"Automation Test, Tester, QA QC, English, Selenium, Java",ITViec,Ho Chi Minh
"Principal/Senior Hybrid QA QC (Manual, Automation)","MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"QA QC, Playwright, Postman, API, Automation Test, Agile",ITViec,Ho Chi Minh
Principal/Senior Golang Engineer,"MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"Golang, CI/CD, PostgreSql, MySQL, AWS, English",ITViec,Ho Chi Minh
