Job Title,Company,Salary,Skills,Location
Senior Bridge Engineer - BrSE (Japanese N2+),N/A,Thỏa thuận,,Ho Chi Minh
[All level] Network Administrator (Cisco/HP/Juniper),N/A,Thỏa thuận,,Ho Chi Minh
Junior iOS Developer (Swift),N/A,Thỏa thuận,,Ho Chi Minh
Middle/Junior Software Developer (Java/Golang/Angular),N/A,Thỏa thuận,,Ho Chi Minh
[Global Market] Senior .NET Developer (Good English),N/A,Thỏa thuận,,Ho Chi Minh
Product Owner Middle,N/A,Thỏa thuận,,Ho Chi Minh
Full-Stack Engineer (Product Builder),N/A,Thỏa thuận,,Ho Chi Minh
"Full-Stack Developer (Typescript, C++, DAP, LSP)",N/A,Thỏa thuận,,Ho Chi Minh
"Data Analyst (SQL, BI tools) for Edtech project",N/A,Thỏa thuận,,Ho Chi Minh
[TeenCare] AI Fullstack Engineer for EdTech Project,N/A,Thỏa thuận,,Ho Chi Minh
Application & Cloud Security Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Middle Site Reliability Engineer (Python/Golang),N/A,Thỏa thuận,,Ho Chi Minh
"DevOps Engineer (Cloud, Terraform, AWS) Up to 50M",N/A,Thỏa thuận,,Ho Chi Minh
"Senior DevOps Engineer (Linux, Git, AWS, CI/CD)",N/A,Thỏa thuận,,Ho Chi Minh
Telecom Business Architect,N/A,Thỏa thuận,,Ho Chi Minh
Mobile Technical Lead,N/A,Thỏa thuận,,Ho Chi Minh
[Telecom] Core Network Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Scrum Master/ Scrum Coach,N/A,Thỏa thuận,,Ho Chi Minh
Senior/ Principal Android Engineer (Kotlin),N/A,Thỏa thuận,,Ho Chi Minh
Senior/Principal iOS Native Engineer (Swift),N/A,Thỏa thuận,,Ho Chi Minh
"Fullstack Web Developer (ReactJS, NodeJS) ~ Up to $2000",N/A,"Fullstack Web Developer (ReactJS, NodeJS) ~ Up to $2000",,Ho Chi Minh
"Data Engineer (Python, SQL)",N/A,Thỏa thuận,,Ho Chi Minh
Sr Embedded Platform Engineer (Automotive) GOOD ENGLISH,N/A,Thỏa thuận,,Ho Chi Minh
Senior Security Engineer (Application Security),N/A,Thỏa thuận,,Ho Chi Minh
RPA Developer (UiPath|Power Platform|Azure|AI),N/A,Thỏa thuận,,Ho Chi Minh
"[Junior/Senior] Business Analyst (Agile, Scrum, SQL)",N/A,Thỏa thuận,,Ho Chi Minh
"Senior DevOps Engineer (AWS, Linux, CI/CD)",N/A,Upto 3500$,,Ho Chi Minh
Android Developer,N/A,Thỏa thuận,,Ho Chi Minh
"Cloud & DevOps Engineer (Azure, AWS)",N/A,Up to $2000,,Ho Chi Minh
Backend Developer (Node.JS/Golang/Java/Rust/C),N/A,Thỏa thuận,,Ho Chi Minh
Junior Business Analyst-Chuyên viên Phân tích nghiệp vụ,N/A,Thỏa thuận,,Ho Chi Minh
Android Developer (Middle - Senior),N/A,Thỏa thuận,,Ho Chi Minh
"System Administrator (Windows Server, Linux)",N/A,Thỏa thuận,,Ho Chi Minh
"(Senior) Mobile Developer (iOS, Android)",N/A,Thỏa thuận,,Ho Chi Minh
Project Manager,N/A,Thỏa thuận,,Ho Chi Minh
CV Báo cáo tuân thủ - Compliance Reporting Officer,N/A,Thỏa thuận,,Ho Chi Minh
Data Quality Management Specialist,N/A,Thỏa thuận,,Ho Chi Minh
"Mid/Sr/Lead .NET Backend Developer (C#, SQL)",N/A,Up to $1800,,Ho Chi Minh
"Senior iOS Engineer (Swift, MVVM, MVC)",N/A,Thỏa thuận,,Ho Chi Minh
"Senior Java Engineer (Spring Boot, Microservices, SQL)",N/A,Thỏa thuận,,Ho Chi Minh
Java Spring Boot (20-40 Mil),N/A,Thỏa thuận,,Ho Chi Minh
"Backend Technical Lead ( Storefront, C#, .NET. ASP.NET)",N/A,Thỏa thuận,,Ho Chi Minh
GNSS Engineer – Android Automotive (Good English),N/A,Thỏa thuận,,Ho Chi Minh
Software Project Manager – Japanese OR Chinese Speaking,N/A,Thỏa thuận,,Ho Chi Minh
Team Leader SOC/ Pentest,N/A,Thỏa thuận,,Ho Chi Minh
"Software Engineer (Embedded C, MCU, RTOS)",N/A,Thỏa thuận,,Ho Chi Minh
QA Engineer (Automation/Manual Testing)~Up to $1500,N/A,QA Engineer (Automation/Manual Testing)~Up to $1500,,Ho Chi Minh
HTML/Wordpress developer - Japanese Company,N/A,Thỏa thuận,,Ho Chi Minh
Senior Android Developer (Kotlin / Java),N/A,Thỏa thuận,,Ho Chi Minh
"Senior iOS Developer (Swift, Objective-C, OOP)",N/A,Thỏa thuận,,Ho Chi Minh
"(Product - Focused) AI Engineer (Python, LLM, AI/ML)",N/A,Thỏa thuận,,Ho Chi Minh
"Java Developer (Spring Boot, Microservices) – ID2686",N/A,Thỏa thuận,,Ho Chi Minh
Senior IOS developer (Good English),N/A,Thỏa thuận,,Ho Chi Minh
"Front End Developer (Reactjs, Good English)",N/A,Thỏa thuận,,Ho Chi Minh
Middle/Senior Oracle & .NET Backend,N/A,Thỏa thuận,,Ho Chi Minh
"Backend Developer (Java, Spring Boot, Web3)",N/A,Thỏa thuận,,Ho Chi Minh
"Middle/Senior AI Engineer (Python, ML)",N/A,Thỏa thuận,,Ho Chi Minh
"Junior Data Engineer (Python, SQL, Database)",N/A,Up to $1000,,Ho Chi Minh
"Frontend Developer (ReactJS, NextJS, Web3)",N/A,Thỏa thuận,,Ho Chi Minh
Senior/Lead Data Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"Senior/Lead Software Engineer (Java, Golang, English)",N/A,Thỏa thuận,,Ho Chi Minh
Python Developer (Công nghệ quản lý dòng tiền),N/A,Thỏa thuận,,Ho Chi Minh
Middle/Senior System Developer (Java) - IT Engineering,N/A,Thỏa thuận,,Ho Chi Minh
AI Engineer (LLM / GenAI / AI Platform),N/A,Thỏa thuận,,Ho Chi Minh
Mid-Senior Backend Engineer (Python/Java),N/A,Thỏa thuận,,Ho Chi Minh
"Software Engineer (Java, Python, C++) - Up to 50M",N/A,Thỏa thuận,,Ho Chi Minh
Java Developer,N/A,Thỏa thuận,,Ho Chi Minh
Mobile Developer (Flutter/ React Native),N/A,Thỏa thuận,,Ho Chi Minh
Kỹ Sư Lập Trình Nhúng (C/C++),N/A,Thỏa thuận,,Ho Chi Minh
"Junior IT System Administrator (Windows Server, Azure)",N/A,Thỏa thuận,,Ho Chi Minh
"Full-stack Developer (NodeJS, Python)",N/A,Thỏa thuận,,Ho Chi Minh
"Chuyên viên cao cấp/Trưởng nhóm DevOps (Jenkins, Linux)",N/A,Thỏa thuận,,Ho Chi Minh
Senior QA Automation Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"Middle IOS Engineer (Swift, Git, MVC, JSON)",N/A,Thỏa thuận,,Ho Chi Minh
"Android Developer (Kotlin/Java, MVVM, Firebase)",N/A,Thỏa thuận,,Ho Chi Minh
Fontend Engineer (ReactJS/Next.js/Vue.js),N/A,Thỏa thuận,,Ho Chi Minh
(Middle - Senior) React Native Developer,N/A,Thỏa thuận,,Ho Chi Minh
Junior Unity Developer,N/A,Thỏa thuận,,Ho Chi Minh
Business Analyst (Middle Level),N/A,Thỏa thuận,,Ho Chi Minh
Web Designer (Game),N/A,Thỏa thuận,,Ho Chi Minh
Senior/Lead Business Analyst,N/A,Thỏa thuận,,Ho Chi Minh
"Senior Embedded QT Architect (C++, Linux, AI-First)",N/A,Up to $2000,,Ho Chi Minh
"Java Deverloper (JavaScript, Spring Boot, Oracle)",N/A,Thỏa thuận,,Ho Chi Minh
Manual Tester,N/A,Thỏa thuận,,Ho Chi Minh
"System Engineer (JavaScript, APIs, AWS, Azure, GCP)",N/A,Thỏa thuận,,Ho Chi Minh
VAI_Fullstack Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"Cloud Solution Architect (AWS) (Senior, Junior)",N/A,Thỏa thuận,,Ho Chi Minh
"DevSecOps (Jenkins, gitlab)",N/A,Thỏa thuận,,Ho Chi Minh
Tester,N/A,Thỏa thuận,,Ho Chi Minh
Game Tester (Female),N/A,Thỏa thuận,,Ho Chi Minh
"Junior Business Analyst (UML, SRS)",N/A,Thỏa thuận,,Ho Chi Minh
"Technical Lead (Game, Unity, CI/CD, Git)",N/A,Thỏa thuận,,Ho Chi Minh
Backend Developer,N/A,Thỏa thuận,,Ho Chi Minh
"Product Owner (Figma, User Story, Product Roadmap)",N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (UML, Figma)",N/A,Thỏa thuận,,Ho Chi Minh
Junior Fullstack Python Developer (Internal Tools),N/A,Thỏa thuận,,Ho Chi Minh
"CVCC Quản trị dữ liệu (Data Governance, SQL, R )-K.CNTT",N/A,Thỏa thuận,,Ho Chi Minh
CVCC Phát triển hệ thống Quản trị tài chính - K.CNTT,N/A,Thỏa thuận,,Ho Chi Minh
Senior AI Automation Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"Business Analyst (Agile, Scrum, Jira, SQL)",N/A,Thỏa thuận,,Ho Chi Minh
"Software Tester (QC, SQL, Postman)",N/A,Thỏa thuận,,Ho Chi Minh
Mobile Developer (Zero Trust Agent/ Android / iOS),N/A,Thỏa thuận,,Ho Chi Minh
Korean Bridge Software Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Application Architect,N/A,Thỏa thuận,,Ho Chi Minh
Senior QC Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"Infrastructure Architecture Expert (Cloud, On-premise)",N/A,Thỏa thuận,,Ho Chi Minh
Frontend Developer (Shopify/Wordpress Developer),N/A,Thỏa thuận,,Ho Chi Minh
"Automotive Software Engineer (C++, OOP, Middleware)",N/A,Thỏa thuận,,Ho Chi Minh
"IT Business Analyst (T24, banking, finance)",N/A,Thỏa thuận,,Ho Chi Minh
Junior/Middle/Senior Android Developer,N/A,Thỏa thuận,,Ho Chi Minh
"Expert/Senior Monitoring Engineer (Grafana, Prometheus)",N/A,Thỏa thuận,,Ho Chi Minh
Product Owner,N/A,Thỏa thuận,,Ho Chi Minh
Middle System Admin,N/A,Thỏa thuận,,Ho Chi Minh
Senior Delivery Lead,N/A,Thỏa thuận,,Ho Chi Minh
Network Operation Engineer,N/A,Thỏa thuận,,Ho Chi Minh
(HN/HCM) Senior Frontend Engineer (JavaScript (ES6+)),N/A,Thỏa thuận,,Ho Chi Minh
(HN/HCM) Senior Product Owner (Data Platform),N/A,Thỏa thuận,,Ho Chi Minh
Kỹ sư phân tích nghiệp vụ (IT Business Analyst) - VIC,N/A,Thỏa thuận,,Ho Chi Minh
[Telecom] System Admin,N/A,Thỏa thuận,,Ho Chi Minh
Cloud Infrastructure Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"[Middle, Senior] BackEnd Engineer (Java, Go)",N/A,Thỏa thuận,,Ho Chi Minh
"[Junior, Senior] FullStack Developer",N/A,Thỏa thuận,,Ho Chi Minh
"[Middle, Senior] FullStack Developer",N/A,Thỏa thuận,,Ho Chi Minh
"[Junior, Senior] BackEnd Engineer (Java, Go)",N/A,Thỏa thuận,,Ho Chi Minh
Cloud Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Senior OutSystems Developer/ Expert (1 year Contractor),N/A,Thỏa thuận,,Ho Chi Minh
HN-Junior Implementation Consultant (SQL/Oracle/Java),N/A,Thỏa thuận,,Ho Chi Minh
Web Visual Designer (Figma) - Japanese Company,N/A,Thỏa thuận,,Ho Chi Minh
[Dubai] Platform Operations Lead (DevOps/SRE),N/A,Thỏa thuận,,Ho Chi Minh
"Java Developer (J2EE, Spring)",N/A,Thỏa thuận,,Ho Chi Minh
"Mid/Senior Frontend Engineer (ReactJS, NextJS)",N/A,Thỏa thuận,,Ho Chi Minh
[Global Market] Solution Architect,N/A,Thỏa thuận,,Ho Chi Minh
HN/HCM_ IT Communicator (Japanese – JLPT N1),N/A,Thỏa thuận,,Ho Chi Minh
Backend Developer - Định hướng Tech Lead (NodeJS),N/A,Thỏa thuận,,Ho Chi Minh
"01 Lead .NET Developer (C#, .NET, Angular)",N/A,Thỏa thuận,,Ho Chi Minh
"Technical Leader (Spring Boot, MySQL, AI, AWS, Linux)",N/A,Thỏa thuận,,Ho Chi Minh
"Data Scientist (Data Science, Machine Learning, Python)",N/A,Thỏa thuận,,Ho Chi Minh
