Job Title,Company,Salary,Experience,City,Skills
Thực Tập Sinh Sales IT (Tiếng Nhật),CÔNG TY CỔ PHẦN HAPOSOFT,Thỏa thuận,Không yêu cầu,Thỏa thuận,"IT - ..., B2B, IT - Phần mềm"
Solution Architect,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,5 năm,Hà Nội,Nghỉ thứ 7
Business Development,NTQ SOLUTION,Thỏa thuận,1 năm,Hà Nội,"Online Sales, IT - ..., B2B"
Sales Executive (B2B),CÔNG TY CỔ PHẦN TÀI NGUYÊN TRI THỨC VIỆT NĂNG,Thỏa thuận,2 năm,Hồ Chí Minh (mới) & 2 nơi khác,"IT - P..., Direct Sales, B2B"
Business Development,NTQ SOLUTION,Thỏa thuận,2 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Project Manager (JLPT N2+/English),FPT SOFTWARE,Thỏa thuận,4 năm,Hồ Chí Minh (mới) & 2 nơi khác,Nghỉ thứ 7
Nhân Viên Kinh Doanh Telesale Phần Mềm,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Telesales, Nhân sự, B2B, IT..."
Nhân Viên Thiết Kế Biển Bảng,CÔNG TY CỔ PHẦN QUẢNG CÁO VÀ TRUYỀN THÔNG D&T MEDIA,Thỏa thuận,1 năm,Hà Nội,Xây ...
Chuyên Viên Giải Pháp Công Nghệ Thông Tin,CÔNG TY CỔ PHẦN ECOIT,Thỏa thuận,3 năm,Hà Nội,IT - ...
Nhân Viên Media - Designer Full Time (Nữ),CÔNG TY TNHH CADMAN,Thỏa thuận,Dưới 1 năm,Hà Nội,Bán lẻ -...
Product Owner - IT Corp - TA172,"Pro
NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG (VPBANK)",Thỏa thuận,3 năm,Hà Nội,"Tài chính, 3 ..."
Nhân Viên Kỹ Thuật IT (Biết Thiết Kế Cơ Bản),CÔNG TY TNHH THƯƠNG MẠI TUỔI TRẺ,Thỏa thuận,Dưới 1 năm,Phú Thọ (mới),
CTO_Giám Đốc Công Nghệ,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Thực Tập Sinh Tư Vấn Phần Mềm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"IT - P..., Direct Sales, B2B"
Nhân Viên Designer,CÔNG TY TNHH BUMAS,Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Nhân Viên Thiết Kế,CÔNG TY TNHH LOTEK FARM VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,Marketin...
Nhân Viên Thiết Kế 2D,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HRK,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...
Chuyên Viên Thiết Kế Đồ Họa/Graphic Designer,CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC VÀ HỢP TÁC QUỐC TẾ THANHMAIHSK,Thỏa thuận,2 năm,Hà Nội,Thiết kế...
Nhân Viên Kinh Doanh Đối Ngoại,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG VNLINK,Thỏa thuận,2 năm,Hà Nội,Online S...
CHUYÊN VIÊN THIẾT KẾ - Đi Làm Ngay,CÔNG TY CỔ PHẦN DEBORAH,Thỏa thuận,2 năm,Hà Nội,Cao Đẳn...
Account Manager (B2B),CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ ĐÁM MÂY CLOUDAZ,Thỏa thuận,1 năm,Hà Nội,"1 năm ki..., Nghỉ thứ 7, B2B"
Artist 2D Game,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ XGAME,Thỏa thuận,2 năm,Hà Nội,"Game, Concept Artist, Đại H..."
Senior Content Developer Tiếng Anh,VIETNAM DISCOVERY TRAVEL,Thỏa thuận,2 năm,Hà Nội,Du...
Graphic Designer Intern (TTS Thiết Kế Đồ Họa),CÔNG TY TNHH TRUYỀN THÔNG VÀ CÔNG NGHỆ GO MEDIA,Thỏa thuận,Dưới 1 năm,Đà Nẵng (mới),Thiết kế...
Graphic Designer,CÔNG TY TNHH TRUYỀN THÔNG VÀ CÔNG NGHỆ GO MEDIA,Thỏa thuận,1 năm,Đà Nẵng (mới),Marketin...
Nhân Viên Thiết Kế 2D - Ngành Hàng Mẹ & Bé,CÔNG TY CỔ PHẦN MOTARO GROUP,Thỏa thuận,2 năm,Hà Nội,Mark...
Chuyên Viên Đánh Giá ATTT (Pentest),CÔNG TY TNHH VETC DIGITAL,Thỏa thuận,3 năm,Hà Nội,Công ...
Backend Technical Lead,"Pro
CÔNG TY TNHH SAMSUNG SDS VIỆT NAM",Thỏa thuận,Trên 5 năm,Hà Nội,Nghỉ thứ 7
Nhân Viên Thiết Kế (Intern/Fresher),CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI THỜI TRANG NAM PHƯƠNG,Thỏa thuận,Dưới 1 năm,Hà Nội,May mặc ...
Business Analyst (GOV),CÔNG TY CỔ PHẦN SYNODUS,Thỏa thuận,4 năm,Hà Nội,Nghỉ thứ 7
Global Market Intelligence & Strategy Analyst,FPT SOFTWARE,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Điện ...
Nhân Viên Thiết Kế ( Graphic Designer),CÔNG TY TRÁCH NHIỆM HỮU HẠN BG MEDIA,Thỏa thuận,1 năm,Nghệ An,Thiết kế...
System Admin L2 - TM,"Pro
FPT IS",Thỏa thuận,3 năm,Hà Nội,An ninh mạng
Nhân Viên Phát Triển Dự Án (Business Development),CÔNG TY CỔ PHẦN AIPT VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,"Cô..., Direct Sales, B2B, B2G"
Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng,CÔNG TY CỔ PHẦN RAPIDA TECHNOLOGIES,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Telesales, Direct Sales"
IT Auditor_Chuyên Viên Kiểm Toán CNTT,CÔNG TY TÀI CHÍNH TNHH MỘT THÀNH VIÊN QUỐC TẾ VIỆT NAM JACCS,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"T..., Nghỉ thứ 7"
Application Engineer - SolidWorks CAD Software,CÔNG TY TNHH SOLID & SOFT,Thỏa thuận,3 năm,Hồ Chí Minh (mới) & Hà Nội,"Công nghệ ..., Sản xuất"
Application Engineer - Mastercam Software,CÔNG TY TNHH SOLID & SOFT,Thỏa thuận,2 năm,Hà Nội,"Kỹ sư cơ khí, Sản xuất"
Telemarketing/ Telesales Sản Phẩm Phần Mềm B2B,CÔNG TY TNHH SOLID & SOFT,Thỏa thuận,Dưới 1 năm,Đà Nẵng (mới),"Online Sales, Telesales"
Chuyên Viên Kinh Doanh Phần Mềm B2B,CÔNG TY TNHH SOLID & SOFT,Thỏa thuận,2 năm,Hồ Chí Minh (mới) & Hà Nội,"Telesales, Direct Sales"
Nhân Viên Kinh Doanh Domain/Hosting/Cloud/Server,CÔNG TY TNHH TC TEAM,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),Direct S...
Middle Automation Test,FPT SOFTWARE,Thỏa thuận,3 năm,Khánh Hòa (mới),"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Thiết Kế,CÔNG TY CỔ PHẦN WONINFINITY,Thỏa thuận,1 năm,Hồ Chí Minh (mới),IT - Phầ...
Kế Toán Trưởng,CÔNG TY CỔ PHẦN EPICGOLD,Thỏa thuận,5 năm,Hà Nội,Kế to...
Product Owner,CÔNG TY CỔ PHẦN EPICGOLD,Thỏa thuận,2 năm,Hà Nội,"Game, N..."
2D Animation (Từ 2 Năm Kinh Nghiệm),CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ARCHER STUDIO,Thỏa thuận,2 năm,Hà Nội,"2 năm kinh..., Game, Nghỉ thứ 7"
"3D Designer (Event, Stage & Exhibition)",CÔNG TY TNHH ADIGIT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Marketin...
Quản Lý Dự Án Tự Động Hóa,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,3 năm,Hà Nội,3 nă...
Designer - Chuyên Viên Thiết Kế BĐS,CÔNG TY CỔ PHẦN ĐÔNG TÂY MB,Thỏa thuận,1 năm,Hà Nội,Bất động...
Multimedia Designer (Graphic Designer & Video Editor) Thu Nhập Upto 18 Triệu Mảng Bất Động Sản - Nhận Việc Ngay Tại HCM,CÔNG TY CỔ PHẦN ĐẦU TƯ KANSAS CAPITAL,18 Triệu,3 năm,Hồ Chí Minh (mới),Marketin...
"Nhân Viên Thiết Kế - Designer - Thu Nhập 12 - 15 Triệu - Tại Gia Lâm, TP. Hà Nội",CÔNG TY CỔ PHẦN BRASLER VIỆT NAM,12 - 15 Triệu,2 năm,Hà Nội,Xây dựng
Junior 3D Artist (Blender + Substance 3D Painter),CÔNG TY TNHH HATDE,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Game
"DevOps Engineer (Kinh Nghiệp Tối Thiểu 3 Năm) - Thu Nhập Upto 30 Triệu (Hỗ Trợ Ăn Trưa, Thưởng Năng Suất Và Lợi Nhuận Cao) Tại Hà Nội",CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM,30 Triệu,3 năm,Hà Nội,"Tài chính, Ngâ..., IT - Phần mềm"
"Nhân Viên Thiết Kế Truyền Thông, Thu Nhập Hấp Dẫn, Đi Làm Ngay",CÔNG TY CP MINH VIỆT TOÀN CẦU,Thỏa thuận,Không yêu cầu,Thỏa thuận,Không yê...
(JP) Kỹ Sư PLC Thiết Bị Sản Xuất Bán Dẫn - Đi Nhật Miễn Phí,CTY TNHH R TECHNO VIỆT NAM,Thỏa thuận,2 năm,Nhật Bản,
Designer,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VHS,Thỏa thuận,1 năm,Hưng Yên (mới),Nghỉ thứ...
Graphic Designer (Mobile App),CÔNG TY TNHH CEM SOFTWARE,Thỏa thuận,1 năm,Hà Nội,Mỹ thuật...
Nhân Viên UA Marketing (Mobile App),CÔNG TY TNHH CEM SOFTWARE,Thỏa thuận,Dưới 1 năm,Hà Nội,"Dưới 1 nă..., Game, Nghỉ thứ 7"
Senior Content Developer - Tiếng Anh,CÔNG TY CỔ PHẦN CÔNG NGHỆ DU LỊCH GIGAGO,Thỏa thuận,2 năm,Hà Nội,Ng...
IT Business Development,CÔNG TY TNHH VBA TECHNOLOGY,Thỏa thuận,2 năm,Hà Nội,"Online Sales, IT - ..., B2B"
QA Engineer,CÔNG TY CỔ PHẦN CÔNG NGHỆ SỐ SSI,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT - ...
Outsystem Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM TINH VÂN,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Outsystem Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ PHẦN MỀM TINH VÂN,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Kinh Doanh,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MOBILE-ID,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"Dưới 1 n..., Nghỉ thứ 7, B2B"
Game Designer (Kịch Bản Game),CÔNG TY CỔ PHẦN CÔNG NGHỆ AMUS,Thỏa thuận,2 năm,Hà Nội,"Đại Học ..., Game, Game Design"
Thực Tập Sinh Designer,CÔNG TY CỔ PHẦN CMETRIC,Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ thứ...
Vị Trí Graphic Designer Lĩnh Vực PrintOnDemand,CÔNG TY TNHH CÔNG NGHỆ VÀ DỊCH VỤ OTB ZONE,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thương m...
Thực Tập Sinh Design,CÔNG TY CỔ PHẦN AGLOBAL,Thỏa thuận,Dưới 1 năm,Hà Nội,Dưới 1 n...
Thực Tập Sinh Thiết Kế Đồ Họa Designer,CÔNG TY CỔ PHẦN TATACI VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ thứ...
Sale/BD (Global Market),CÔNG TY TNHH RELIPA,Thỏa thuận,2 năm,Hà Nội,"Nhân sự, B2B, Giáo dục / ..."
Nhân Viên Lập Trình,CÔNG TY TNHH CÔNG NGHỆ GIẢI PHÁP CITYNOW,Thỏa thuận,3 năm,Hồ Chí Minh (mới),
Media Designer (Thiết Kế Đa Phương Tiện),CÔNG TY TNHH DIGITAL GLOBAL,Thỏa thuận,Không yêu cầu,Thỏa thuận,Marketin...
Chuyên Viên UI/UX Designer,CÔNG TY CỔ PHẦN ĐẦU TƯ AHV HOLDING,Thỏa thuận,1 năm,Thái Nguyên (mới),"IT - Phần mềm, UI/UX Design"
NHÂN VIÊN THIẾT KẾ (Design Marketing),CÔNG TY TNHH CÔNG NGHỆ NETA VIỆT NAM,Thỏa thuận,Dưới 1 năm,Hà Nội,Dưới 1 n...
Nhân Viên Thiết Kế Đồ Hoạ,CÔNG TY TNHH GIA LINH NGUYỄN,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Process Quality Assurance,"Pro
CÔNG TY CỔ PHẦN SMARTOSC",Thỏa thuận,3 năm,Hà Nội,IT - Phần...
Nhân Viên Tư Vấn Phát Triển Website,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Online Sales, Telesales"
Devops Engineer,"TECHVIFY SOFTWARE., JSC",Thỏa thuận,3 năm,Hà Nội,
Nhân Viên Văn Phòng,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Online Sa..., Direct Sales"
Senior Graphic Design (Visual Direction),CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ TRUYỀN THÔNG DGROUP,Thỏa thuận,4 năm,Hồ Chí Minh (mới),Thiết kế...
Nhân Viên Designer Social 2D,CÔNG TY TNHH TMDV MỸ PHẨM L & J,Thỏa thuận,2 năm,Hà Nội,Marketin...
Site Reliability Engineer (SRE) Trong DevOps Team,CÔNG TY TNHH CÁC GIẢI PHÁP SOFTEL,Thỏa thuận,2 năm,Hà Nội,"Viễn thông, Ng..., IT - Phần mềm"
Data Scientist Expert - Hà Nội - TA150,"Pro
NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG (VPBANK)",Thỏa thuận,Trên 5 năm,Hà Nội,"Đại ..., Data Scientist"
2D Creative Artist (IKame Games),CÔNG TY CỔ PHẦN IKAME GLOBAL,Thỏa thuận,4 năm,Hà Nội,"Game, Concept Artist, N..."
UA Marketing (Mobile App),CÔNG TY CỔ PHẦN IKAME GLOBAL,Thỏa thuận,1 năm,Hà Nội,Game
Kỹ Sư Mạng Và Bảo Mật (Network Engineer),CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,Thỏa thuận,2 năm,Hà Nội,Nghỉ thứ 7
Network Engineer,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ TRUYỀN THÔNG NGS,Thỏa thuận,3 năm,Hà Nội,An ninh mạng
Designer POD,CÔNG TY TNHH WARRIORS HOLDING,Thỏa thuận,Dưới 1 năm,Đà Nẵng (mới),Thiết kế...
Chuyên Viên Chuyển Đổi Số,HỘ KINH DOANH SỬA CHỮA BẢO HÀNH 1 (ONE),Thỏa thuận,1 năm,Hồ Chí Minh (mới),T...
Middle QA Engineer,CÔNG TY CỔ PHẦN PT HUB,Thỏa thuận,3 năm,Hà Nội,"QA Engineer, 3 năm ..., Nghỉ thứ 7, IT - Phần mềm"
Chuyên Viên Thiết Kế Đồ Họa,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN TASECO,Thỏa thuận,3 năm,Hà Nội,Thiết kế...
Fullstack Developer (ENG + JP N3),CÔNG TY TNHH ĐẦU TƯ 24INVEST,Thỏa thuận,4 năm,Hà Nội,"Tiếng Anh G..., Nghỉ thứ 7"
Thực Tập Sinh Thiết Kế,CÔNG TY CỔ PHẦN HUPUNA GROUP,Thỏa thuận,Không yêu cầu,Thỏa thuận,Tuổi...
Trưởng / Quản Lý Bộ Phận Kỹ Thuật,CÔNG TY CỔ PHẦN ZIONCOM (VIETNAM),Thỏa thuận,5 năm,Hồ Chí Minh (mới),
Technical Advisor,CÔNG TY TNHH FOBE,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Nghỉ thứ 7
Business Development (B2B),CÔNG TY CỔ PHẦN GIẢI PHÁP PHẦN MỀM BIPLUS VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"Có hỗ trợ Data, B2B, Nghỉ..."
Thiết Kế Đồ Hoạ Graphic Design (Chỉ Tuyển Nữ),CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ BKA GLOBAL,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Trưởng Nhóm Kiểm Thử (Tester Leader),CÔNG TY CỔ PHẦN TINASOFT VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"2 nă..., Manual Tester, Nghỉ thứ 7, IT - Phần mềm"
Kinh Doanh Dự Án Phần Mềm,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,Thỏa thuận,2 năm,Hà Nội,"Telesales, Direct Sales"
Designer,TMA SOLUTIONS,Thỏa thuận,2 năm,Hồ Chí Minh (mới),Mỹ thuật...
Nhân Viên Kỹ Thuật Thí Nghiệm Điện,CÔNG TY TNHH TƯ VẤN & ỨNG DỤNG NĂNG LƯỢNG 360,Thỏa thuận,Không yêu cầu,Thỏa thuận,
Nhân Viên IT,CÔNG TY CỔ PHẦN LAVELA,Thỏa thuận,2 năm,Lâm Đồng (mới),
Nhân Viên Bảo Trì Mới Ra Trường,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO HTVG,Thỏa thuận,Không yêu cầu,Thỏa thuận,Sản xuất
Mobile Developer,"Pro
TẬP ĐOÀN FPT",Thỏa thuận,3 năm,Hà Nội,Nghỉ thứ 7
Kỹ Sư Công Nghệ Thông Tin/Kỹ Sư Điện Tử Viễn Thông,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ CÔNG NGHỆ THIÊN KIM,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Công..., Kỹ sư điện"
Data Engineer,CÔNG TY CỔ PHẦN PAYTECH,Thỏa thuận,2 năm,Hà Nội,"Data Engineer, Nghỉ thứ 7"
Kỹ Sư Cầu Nối Tiếng Nhật (BrSE),CÔNG TY CỔ PHẦN GMO-Z.COM RUNSYSTEM,Thỏa thuận,3 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
Nhân Viên Thiết Kế Đồ Họa,CÔNG TY CỔ PHẦN TẬP ĐOÀN F&F,Thỏa thuận,2 năm,Hà Nội,Bán lẻ -...
Lập Trình Game Dòng Casual/Puzzle (Level Middle),CÔNG TY TNHH HỌC LÝ PHƯƠNG ĐÔNG,Thỏa thuận,3 năm,Hà Nội,"Game, IT - Phầ..."
Thiết Kế Game / Game Designer (Junior),CÔNG TY TNHH HỌC LÝ PHƯƠNG ĐÔNG,Thỏa thuận,1 năm,Hà Nội,"Cao Đẳng..., Game, Game Design"
Nhân Viên Thiết Kế Sự Kiện Design Marketing,CÔNG TY CỔ PHẦN TỔ CHỨC SỰ KIỆN VÀ DU LỊCH MTE,Thỏa thuận,1 năm,Hà Nội,N...
Nhân Viên Thiết Kế 2D/Graphic Designer/Từ 2 Năm KN,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG KỸ THUẬT VÀ THƯƠNG MẠI DỊCH VỤ DOZA ILLUMINATION,Thỏa thuận,2 năm,Hà Nội,Marketin...
Art Designer,CÔNG TY TNHH NATHAN ROAD 9,Thỏa thuận,3 năm,Hồ Chí Minh (mới),Marketin...
Lập Trình Game Dòng Casual/Puzzle,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,3 năm,Hà Nội,"Game, 3 năm ki..."
Nhân Viên Unity Playable Ads,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,Dưới 1 năm,Hà Nội,"Game, Dưới 1 n..."
Thiết Kế Game / Game Designer,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,Thỏa thuận,1 năm,Hà Nội,"Cao Đẳng..., Game, Game Design"
Nhân Viên Kinh Doanh Nội Bộ,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIẢI PHÁP THI THIÊN,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"B2C, Tuổi ..."
Account Manager – Enterprise IT,CÔNG TY TNHH IGS GROUP VIETNAM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"IT ..., Direct Sales, B2B"
Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,3 năm,Hà Nội,IT...
Automation Tester,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,Thỏa thuận,2 năm,Hà Nội,Nghỉ thứ 7
Thiết Kế Đồ Họa,CÔNG TY TNHH MTV PHONG VIỆT,Thỏa thuận,1 năm,Đà Nẵng (mới),Thiết kế...
CTV Thiết Kế 3D,CÔNG TY CỔ PHẦN TẬP ĐOÀN VMED,Thỏa thuận,2 năm,Hồ Chí Minh (mới),3D Modeler
SAP MM Consultant,FPT SOFTWARE,Thỏa thuận,2 năm,Hà Nội & Hồ Chí Minh (mới),IT - ...
Chuyên Viên Kinh Doanh Phần Mềm Y Tế,CÔNG TY CỔ PHẦN TẬP ĐOÀN IVI,Thỏa thuận,5 năm,Đà Nẵng (mới) & Hà Nội,"Y tế ..., B2B, IT - Phần mềm"
Embedded Developer (RTOS),FPT SOFTWARE,Thỏa thuận,3 năm,Hà Nội,IT - Ph...
Chuyên Viên Quản Lý Chất Lượng Phát Triển Phần Mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ KIOTVIET,Thỏa thuận,3 năm,Hà Nội,IT - Phần...
Chuyên Viên Thiết Kế,CÔNG TY CỔ PHẦN NINE REALTY,Thỏa thuận,1 năm,Hà Nội,Bất động...
2D Game Artist,CÔNG TY CỔ PHẦN CÔNG NGHỆ FLYER,Thỏa thuận,3 năm,Hà Nội,IT - Phầ...
Business Development,CÔNG TY CỔ PHẦN CÔNG NGHỆ ISOFH,Thỏa thuận,5 năm,Đà Nẵng (mới) & Hà Nội,"Y tế ..., B2B, IT - Phần mềm"
Trưởng Phòng Kinh Doanh Dự Án (Khối Chính Phủ),CÔNG TY CỔ PHẦN BUCA,Thỏa thuận,2 năm,Hà Nội,"IT - P..., Direct Sales, B2G"
AWS Cloud Lead,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,Thỏa thuận,Trên 5 năm,Hà Nội,"Cloud Engineer, IT - Phần mềm"
Kỹ Sư Điện - PLC,CÔNG TY TNHH MTV CADIVI MIỀN BẮC,Thỏa thuận,2 năm,Bắc Ninh (mới),
Kế Toán Bán Hàng,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ SỐ DNP,Thỏa thuận,1 năm,Hà Nội,"B2C, Tuổi 25 - 4..., Kế toán"
Lập Trình Mobile App,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DỊCH VỤ MEDLATEC GROUP,Thỏa thuận,3 năm,Hà Nội,IT - ...
Nhân Viên Kinh Doanh Giải Pháp Dữ Liệu,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MVDB,Thỏa thuận,Dưới 1 năm,Hà Nội,"Online Sales, Telesales"
Senior SAP SD Consultant (S/4/HANA),FPT SOFTWARE,Thỏa thuận,Trên 5 năm,Hồ Chí Minh (mới),IT - ...
"UI/UX Designer (Ecommerce, Lương Từ 12 - 18 Triệu + Thưởng, Nghỉ Thứ 7 - Chủ Nhật)",CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ECOMBE,12 - 18 Triệu,3 năm,Hà Nội,"IT - Phần mềm, 3 năm..., Nghỉ thứ 7, UI/UX Design"
"Họa Sỹ Hoạt Hình 3D – Thiết Kế Nhân Vật, Dựng Mô Hình 3D (Pm Zbrush)",CTY TNHH R TECHNO VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"3D Modeler, Mỹ thuật /..."
Nhân Viên Thiết Kế Và Quay Dựng Video - Lương Từ 10 Triệu Trở Lên,CHI NHÁNH CÔNG TY TNHH DYNAMIC GLOBAL SOLUTION,10 Triệu,1 năm,Hồ Chí Minh (mới),Marketin...
Nhân Viên Thiết Kế,CÔNG TY TNHH THƯƠNG MẠI VẠN NHẤT,Thỏa thuận,1 năm,Hồ Chí Minh (mới),1 nă...
"Nhân Viên Thiết Kế Đồ Họa - Branding, Packaging",CÔNG TY CỔ PHẦN THIẾT KẾ GURU,Thỏa thuận,Dưới 1 năm,Hà Nội,Thiết kế...
Trưởng Nhóm Thiết Kế,CÔNG TY CỔ PHẦN QUẢN LÝ VẬN HÀNH KHÁCH SẠN SUPER HOTEL CANDLE,Thỏa thuận,2 năm,Hà Nội,2 năm ki...
Nhân Viên Lắp Đặt Điện,CÔNG TY TNHH DỊCH VỤ GIẢI PHÁP KỸ THUẬT CÔNG NGHỆ VIỆT,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),
Nhân Viên Design,CÔNG TY TNHH CÔNG NGHỆ AMCOLAB,Thỏa thuận,2 năm,Hà Nội,IT - Phầ...
Nhân Viên Graphic Design,ULTIMATE SUP,Thỏa thuận,2 năm,Hà Nội,Marketin...
Leader UA Marketing (Mobile App),CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG QSOFT,Thỏa thuận,2 năm,Hà Nội,IT...
Nhân Viên Kỹ Thuật,TẬP ĐOÀN TÂN Á ĐẠI THÀNH,Thỏa thuận,1 năm,Ninh Bình (mới),"Tuổi 25 - 4..., Kỹ thuật IT"
Business Development Executive,CÔNG TY CỔ PHẦN INFINITY TECHNOLOGY GLOBAL,Thỏa thuận,1 năm,Hà Nội,"Ga..., B2B, IT - Phần mềm"
Playable Developer,CÔNG TY CỔ PHẦN INFINITY TECHNOLOGY GLOBAL,Thỏa thuận,1 năm,Hà Nội,"Game, Game Developer, Nghỉ thứ 7"
Nhân Viên 3D Animator,CÔNG TY TNHH QUỐC TẾ INCOM - STUDIO,Thỏa thuận,1 năm,Hà Nội,1 năm ki...
Nhân Viên Kinh Doanh - Tư Vấn Website,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Thỏa thuận,Dưới 1 năm,Hồ Chí Minh (mới),"Marke..., B2B, IT - Phần mềm"
Thực Tập Sinh Kinh Doanh Phần Mềm -Sale B2B Intern,CÔNG TY CỔ PHẦN CÔNG NGHỆ SANDBOXVN,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Telesales, Direct Sales"
"Thiết Kế (Thẩm Mỹ, Spa, Nha Khoa)",CÔNG TY TNHH ZEI GROUP,Thỏa thuận,1 năm,Hà Nội,Y tế / D...
